# ● Daftar Mode Skenario (Kaisou Mode),,,,

#Nama file thumbnail,Nama file sumber thumbnail （untuk pembuatan otomatis）,File mulai*Label pindah*Label mulai,[[File selesai]*Label selesai*Label buka|@Flag],

thum_dc5_com19601026a,,dc5_com19601026a.ks*dc5_com19601026a_START,@dc5_com19601026a,Pengumuman Tema Hakari-goto

thum_dc5_com19601026c,,dc5_com19601026c.ks*dc5_com19601026c_START,@dc5_com19601026c,Semua Orang Mulai Bergerak Menuju Hakari-goto

thum_dc5_com19601027b,,dc5_com19601027b.ks*dc5_com19601027b_START,@dc5_com19601027b,Penasaran dengan Festival Olahraga

thum_dc5_com19601027c,,dc5_com19601027c.ks*dc5_com19601027c_START,@dc5_com19601027c,Reputasi Buruk Tiga Orang Bodoh (3 Baka)

thum_dc5_com19601027d,,dc5_com19601027d.ks*dc5_com19601027d_START,@dc5_com19601027d,Kutu Buku

thum_dc5_com19601028a,,dc5_com19601028a.ks*dc5_com19601028a_START,@dc5_com19601028a,Keluarga Tokisaka yang Mana?

thum_dc5_com19601028b1,,dc5_com19601028b1.ks*dc5_com19601028b1_START,@dc5_com19601028b1,Tingkat Keseriusan Shirakawa

thum_dc5_com19601028b2,,dc5_com19601028b2.ks*dc5_com19601028b2_START,@dc5_com19601028b2,Klub Astronomi dan Kegaduhan Kako

thum_dc5_com19601028b3,,dc5_com19601028b3.ks*dc5_com19601028b3_START,@dc5_com19601028b3,Mizuha dan Poko-taro

thum_dc5_com19601028b4,,dc5_com19601028b4.ks*dc5_com19601028b4_START,@dc5_com19601028b4,Makan Siang di Atap Gedung ala Anoa

thum_dc5_com19601028b5,,dc5_com19601028b5.ks*dc5_com19601028b5_START,@dc5_com19601028b5,Yukina dan Anggota OSIS

thum_dc5_com19601029a,,dc5_com19601029a.ks*dc5_com19601029a_START,@dc5_com19601029a,Pemandangan Khas Musim Hakari-goto

thum_dc5_com19601029c1,,dc5_com19601029c1.ks*dc5_com19601029c1_START,@dc5_com19601029c1,Obrolan Toko Jajanan Tradisional Bersama Shirakawa

thum_dc5_com19601029c2,,dc5_com19601029c2.ks*dc5_com19601029c2_START,@dc5_com19601029c2,Pembuatan Aksesori oleh Kako

thum_dc5_com19601029c3,,dc5_com19601029c3.ks*dc5_com19601029c3_START,@dc5_com19601029c3,Mizuha di Gudang Arsip Buku

thum_dc5_com19601029c4,,dc5_com19601029c4.ks*dc5_com19601029c4_START,@dc5_com19601029c4,"Anoa, Permen Lollipop, dan Kubis Gulung"

thum_dc5_com19601029c5,,dc5_com19601029c5.ks*dc5_com19601029c5_START,@dc5_com19601029c5,Yukina dan Buku Harian

thum_dc5_com19601030b,,dc5_com19601030b.ks*dc5_com19601030b_START,@dc5_com19601030b,"Menang Lawan Kari, Kalah oleh Bawang Bombay"

thum_dc5_com19601031a,,dc5_com19601031a.ks*dc5_com19601031a_START,@dc5_com19601031a,"Jika Diragukan, Dianggap Putih (Tidak Bersalah)"

thum_dc5_com19601031b1,,dc5_com19601031b1.ks*dc5_com19601031b1_START,@dc5_com19601031b1,Mengamati Kegiatan Perekrutan Shirakawa

thum_dc5_com19601031b2,,dc5_com19601031b2.ks*dc5_com19601031b2_START,@dc5_com19601031b2,Apakah Kako Sedang Dicemburui?

thum_dc5_com19601031b3,,dc5_com19601031b3.ks*dc5_com19601031b3_START,@dc5_com19601031b3,Sikap Tetap Tenang ala Mizuha

thum_dc5_com19601031b4,,dc5_com19601031b4.ks*dc5_com19601031b4_START,@dc5_com19601031b4,Anoa dan Bayam

thum_dc5_com19601031b5,,dc5_com19601031b5.ks*dc5_com19601031b5_START,@dc5_com19601031b5,Cara Menikmati Sesuatu ala Yukina

thum_dc5_com19601101a,,dc5_com19601101a.ks*dc5_com19601101a_START,@dc5_com19601101a,Mari Sambut Hari Terakhir Perekrutan

thum_dc5_com19601101c1,,dc5_com19601101c1.ks*dc5_com19601101c1_START,@dc5_com19601101c1,Perjuangan Keras Shirakawa Membagikan Selebaran

thum_dc5_com19601101c2,,dc5_com19601101c2.ks*dc5_com19601101c2_START,@dc5_com19601101c2,Rasa Malu Kako Saat Membagikan Selebaran

thum_dc5_com19601101c3,,dc5_com19601101c3.ks*dc5_com19601101c3_START,@dc5_com19601101c3,"Mizuha, Poko-taro, dan Krisis"

thum_dc5_com19601101c4,,dc5_com19601101c4.ks*dc5_com19601101c4_START,@dc5_com19601101c4,"Anoa, Ganti Baju, dan Camilan Malam"

thum_dc5_com19601101c5,,dc5_com19601101c5.ks*dc5_com19601101c5_START,@dc5_com19601101c5,Yukina dan Payung Berdua yang Berdebar-debar

thum_dc5_com19601102c,,dc5_com19601102c.ks*dc5_com19601102c_START,@dc5_com19601102c,"Nah, Festival Kagasai Tahun Ini Adalah―"

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

,,,,

"#,,,,",,,,

:,,,,

